Entity,Year,Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number)
African,1990,776993
African,1991,783903
African,1992,792625
African,1993,799439
African,1994,807346
African,1995,815386
African,1996,821071
African,1997,824066
African,1998,827380
African,1999,828108
African,2000,828900
African,2001,823705
African,2002,820164
African,2003,813190
African,2004,804968
African,2005,797364
African,2006,793708
African,2007,784442
African,2008,772367
African,2009,762009
African,2010,750262
African,2011,737828
African,2012,726512
African,2013,714719
African,2014,703722
African,2015,694839
African,2016,687868
African,2017,677504
African,2018,667481
African,2019,656085
Eastern Mediterranean,1990,311410
Eastern Mediterranean,1991,312731
Eastern Mediterranean,1992,315935
Eastern Mediterranean,1993,318951
Eastern Mediterranean,1994,321195
Eastern Mediterranean,1995,322885
Eastern Mediterranean,1996,320842
Eastern Mediterranean,1997,317970
Eastern Mediterranean,1998,311258
Eastern Mediterranean,1999,306002
Eastern Mediterranean,2000,301966
Eastern Mediterranean,2001,298547
Eastern Mediterranean,2002,294819
Eastern Mediterranean,2003,291994
Eastern Mediterranean,2004,287440
Eastern Mediterranean,2005,281179
Eastern Mediterranean,2006,275338
Eastern Mediterranean,2007,267786
Eastern Mediterranean,2008,263317
Eastern Mediterranean,2009,256825
Eastern Mediterranean,2010,250620
Eastern Mediterranean,2011,243543
Eastern Mediterranean,2012,236725
Eastern Mediterranean,2013,230870
Eastern Mediterranean,2014,224536
Eastern Mediterranean,2015,218424
Eastern Mediterranean,2016,214413
Eastern Mediterranean,2017,209553
Eastern Mediterranean,2018,202136
Eastern Mediterranean,2019,195047
European,1990,128366
European,1991,125403
European,1992,123225
European,1993,122915
European,1994,122047
European,1995,118008
European,1996,112516
European,1997,107123
European,1998,100835
European,1999,97248
European,2000,93774
European,2001,89764
European,2002,86430
European,2003,82321
European,2004,76915
European,2005,73429
European,2006,67488
European,2007,62431
European,2008,57799
European,2009,53033
European,2010,49556
European,2011,46172
European,2012,43397
European,2013,40461
European,2014,38305
European,2015,37058
European,2016,34991
European,2017,33364
European,2018,32085
European,2019,30746
European,1990,1526147
European,1991,1514894
South-East Asia,1992,1505306
South-East Asia,1993,1485873
South-East Asia,1994,1466568
South-East Asia,1995,1446658
South-East Asia,1996,1442672
South-East Asia,1997,1463676
South-East Asia,1998,1448172
South-East Asia,1999,1405108
South-East Asia,2000,1386373
South-East Asia,2001,1376853
South-East Asia,2002,1364414
South-East Asia,2003,1332294
South-East Asia,2004,1279948
South-East Asia,2005,1280474
South-East Asia,2006,1287052
South-East Asia,2007,1279856
South-East Asia,2008,1267347
South-East Asia,2009,1216499
South-East Asia,2010,1179465
South-East Asia,2011,1148326
South-East Asia,2012,1112916
South-East Asia,2013,1074362
South-East Asia,2014,1026939
South-East Asia,2015,996484
South-East Asia,2016,969856
South-East Asia,2017,953207
South-East Asia,2018,933390
South-East Asia,2019,896382
Western Pacific,1990,1471000
Western Pacific,1991,1446160
Western Pacific,1992,1419136
Western Pacific,1993,1386075
Western Pacific,1994,1340707
Western Pacific,1995,1294183
Western Pacific,1996,1251187
Western Pacific,1997,1195804
Western Pacific,1998,1144771
Western Pacific,1999,1112087
Western Pacific,2000,1092695
Western Pacific,2001,1064833
Western Pacific,2002,1043914
Western Pacific,2003,1020761
Western Pacific,2004,1000887
Western Pacific,2005,959522
Western Pacific,2006,891992
Western Pacific,2007,835213
Western Pacific,2008,794036
Western Pacific,2009,758886
Western Pacific,2010,729596
Western Pacific,2011,697126
Western Pacific,2012,657790
Western Pacific,2013,623599
Western Pacific,2014,594358
Western Pacific,2015,568612
Western Pacific,2016,553645
Western Pacific,2017,535277
Western Pacific,2018,507885
Western Pacific,2019,474263
